Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,163,40773,17710,13254,2310,5038,124,18025,64774,172,258
H:\BachelorarbeitCD\Source Code,163,40773,17710,13254,2310,5038,124,18025,64774,172,258
H:\BachelorarbeitCD\Source Code\com.amenity.dbserver,1,83,48,34,4,18,0,17,47,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.dbserver\src,1,83,48,34,4,18,0,17,47,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.dbserver\src\com,1,83,48,34,4,18,0,17,47,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.dbserver\src\com\amenity,1,83,48,34,4,18,0,17,47,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.dbserver\src\com\amenity\dbserver,1,83,48,34,4,18,0,17,47,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine,21,2734,1756,1279,263,436,8,542,1964,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src,21,2734,1756,1279,263,436,8,542,1964,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com,21,2734,1756,1279,263,436,8,542,1964,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity,21,2734,1756,1279,263,436,8,542,1964,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine,21,2734,1756,1279,263,436,8,542,1964,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper,21,2734,1756,1279,263,436,8,542,1964,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper\compare,2,615,412,293,73,100,6,103,557,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper\gui,11,656,507,340,107,139,0,10,61,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper\gui\contentProvider,2,131,103,63,20,27,0,1,5,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper\gui\editingSupport,1,85,66,46,7,19,0,0,0,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper\gui\filter,4,112,87,64,16,21,0,4,27,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper\gui\labelProvider,2,246,189,126,51,52,0,5,29,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper\mks,3,943,465,374,56,86,2,392,1240,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper\status,1,26,19,15,4,7,0,0,0,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.engine\src\com\amenity\engine\helper\synergy,4,494,353,257,23,104,0,37,106,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.model,77,28229,8880,6493,1430,2832,82,16517,59116,152,152
H:\BachelorarbeitCD\Source Code\com.amenity.model\src,77,28229,8880,6493,1430,2832,82,16517,59116,152,152
H:\BachelorarbeitCD\Source Code\com.amenity.model\src\dao,32,5771,2143,1633,293,714,33,2914,10261,64,64
H:\BachelorarbeitCD\Source Code\com.amenity.model\src\dao\impl,15,3171,1613,1214,204,441,16,1117,3113,30,30
H:\BachelorarbeitCD\Source Code\com.amenity.model\src\dao\util,2,711,284,196,89,49,2,378,2160,4,4
H:\BachelorarbeitCD\Source Code\com.amenity.model\src\general,44,22034,6478,4680,1082,2011,47,13545,48653,88,88
H:\BachelorarbeitCD\Source Code\com.amenity.model\src\general\impl,18,10740,4837,3363,917,988,18,4915,14049,36,36
H:\BachelorarbeitCD\Source Code\com.amenity.model\src\general\util,2,819,323,220,95,55,2,441,2514,4,4
H:\BachelorarbeitCD\Source Code\com.amenity.model\src\properties,1,424,259,180,55,107,2,58,202,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench,64,9727,7026,5448,613,1752,34,949,3647,20,106
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src,64,9727,7026,5448,613,1752,34,949,3647,20,106
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com,62,8865,6565,5087,529,1746,18,554,1865,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity,62,8865,6565,5087,529,1746,18,554,1865,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench,62,8865,6565,5087,529,1746,18,554,1865,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\dialogs,5,723,503,394,32,115,5,105,319,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\interfaces,1,36,24,23,0,10,0,2,3,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\preferencepage,3,260,193,139,4,63,1,4,14,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\supporter,4,1085,759,530,112,261,2,65,278,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\views,20,3961,3008,2333,221,750,7,203,738,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\views\activities,13,307,224,161,13,71,0,12,28,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\wizards,15,2006,1519,1239,118,384,1,103,276,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\wizards\addContainer,3,174,128,108,9,38,0,8,21,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource,9,1370,1044,849,86,247,1,79,209,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\com\amenity\workbench\wizards\addSnapshot,3,462,347,282,23,99,0,16,46,0,0
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\org,2,862,461,361,84,6,16,395,1782,20,106
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\org\eclipse,2,862,461,361,84,6,16,395,1782,20,106
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\org\eclipse\wb,2,862,461,361,84,6,16,395,1782,20,106
H:\BachelorarbeitCD\Source Code\com.amenity.workbench\src\org\eclipse\wb\swt,2,862,461,361,84,6,16,395,1782,20,106
